"How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)?",extremely aware,not aware at all
How real did the virtual world seem to you?,completely real,not real at all
"I had a sense of acting in the virtual space, rather than operating something from outside.",fully disagree,fully agree
How much did your experience in the virtual environment seem consistent with your real world experience ?,not consistent,very consistent
How real did the virtual world seem to you?,about as real as an imagined world,indistinguishable from the real world
I did not feel present in the virtual space.,did not feel,felt present
I was not aware of my real environment.,fully disagree,fully agree
"In the computer generated world I had a sense of ""being there""",not at all,very much
Somehow I felt that the virtual world surrounded me.,fully disagree,fully agree
I felt present in the virtual space.,fully disagree,fully agree
I still paid attention to the real environment.,fully disagree,fully agree
The virtual world seemed more realistic than the real world.,fully disagree,fully agree
I felt like I was just perceiving pictures.,fully disagree,fully agree
I was completely captivated by the virtual world.,fully disagree,fully agree
